P,M,Train Ac,Train avgAc,Test Ac,Test avgAc
20, 512, 82.69496, 84.741554, 80.65934, 82.31943
20, 1024, 85.367874, 87.34745, 81.86813, 83.37864
22, 512, 84.18297, 86.1898, 82.30769, 83.56309
22, 1024, 86.88344, 88.42986, 83.84615, 85.003876
24, 512, 84.62386, 86.32571, 83.07693, 84.28049
24, 1024, 86.85588, 88.700584, 85.16483, 86.00856
20, 2048, 87.296776, 89.052925, 82.74725, 84.221466
20, 4096, 88.977684, 90.484535, 83.07693, 84.52692
22, 2048, 88.39901, 89.92123, 85.38461, 86.55722
22, 4096, 90.32791, 91.64446, 84.06593, 85.20859
24, 2048, 88.702126, 90.23544, 85.05495, 86.242935
24, 4096, 91.15459, 92.46067, 85.82417, 87.00913
30, 512, 86.2221, 88.13955, 83.29671, 84.734566
30, 1024, 87.655, 89.623665, 85.27473, 86.81121
30, 2048, 89.85947, 91.42587, 86.59341, 87.90804
30, 4096, 91.12703, 92.90518, 86.15385, 87.98081
34, 512, 87.02122, 89.00171, 84.94505, 86.48648
34, 1024, 89.00524, 90.81052, 86.48351, 88.33463
34, 2048, 90.300354, 92.10898, 88.13187, 89.68069
34, 4096, 92.31193, 93.7647, 87.25275, 89.09352
38, 512, 87.820335, 89.74551, 85.93407, 87.534935
38, 1024, 89.85947, 91.72856, 88.02197, 89.422035
38, 2048, 91.044365, 92.88809, 88.24175, 89.79204
38, 4096, 92.78038, 94.24556, 88.46153, 90.47763
42, 512, 88.206116, 90.131065, 87.58241, 89.52025
42, 1024, 89.80435, 91.74092, 88.9011, 90.555336
42, 2048, 91.26482, 93.05238, 89.78022, 91.20418
42, 4096, 93.3315, 94.71568, 89.670334, 90.9433
44, 512, 88.50923, 90.603966, 87.47253, 89.15752
44, 1024, 90.35547, 92.00034, 89.01099, 90.28575
44, 2048, 91.67815, 93.21925, 89.890114, 91.28344
44, 4096, 93.00083, 94.42407, 89.890114, 91.42262
48, 512, 88.8399, 90.85969, 88.57143, 90.2865
48, 1024, 90.41058, 92.32798, 89.23077, 90.49224
48, 2048, 91.567924, 93.123505, 89.34066, 90.64627
48, 4096, 93.359055, 94.73376, 89.56044, 91.42343
50, 512, 88.50923, 90.398796, 88.46153, 90.53294
50, 1024, 90.05235, 92.003105, 89.78022, 91.143776
50, 2048, 91.73326, 93.274925, 90, 91.3185
50, 4096, 93.46928, 94.72393, 89.670334, 91.26642
56, 512, 89.30835, 91.132576, 88.57143, 90.476204
56, 1024, 91.15459, 92.850266, 90, 91.57418
56, 2048, 92.201706, 93.74224, 90.32967, 91.388885
56, 4096, 93.744835, 95.042336, 90.43956, 91.88959
60, 512, 89.22568, 91.20836, 88.68132, 90.246704
60, 1024, 90.96169, 92.63391, 90, 91.53607
60, 2048, 92.697716, 94.0685, 90, 91.32088
60, 4096, 93.607056, 94.83869, 90.43956, 91.80408
64, 512, 89.501236, 91.20587, 88.46153, 90.13251
64, 1024, 90.98926, 92.52266, 89.670334, 91.06451
64, 2048, 92.61504, 93.88432, 91.0989, 92.20062
64, 4096, 94.18573, 95.24752, 90.98901, 91.820915
68, 512, 89.66657, 91.19156, 88.68132, 90.147675
68, 1024, 91.12703, 92.662964, 90.43956, 91.71898
68, 2048, 93.00083, 94.095406, 90.76923, 91.87329
68, 4096, 93.882614, 95.02047, 91.42857, 92.722
76, 512, 89.33591, 90.900406, 88.24175, 89.68355
76, 1024, 91.48525, 92.72879, 90.98901, 91.748276
76, 2048, 92.91816, 94.11672, 91.86813, 92.724106
76, 4096, 94.59906, 95.55807, 91.75824, 93.003716
80, 512, 90.272804, 91.50191, 89.890114, 91.40795
80, 1024, 92.1466, 93.18511, 90.76923, 91.81239
80, 2048, 93.1386, 94.06704, 92.52747, 93.46106
80, 4096, 94.46129, 95.34206, 91.64835, 92.96675
90, 512, 90.35547, 91.63419, 89.56044, 90.26489
90, 1024, 92.28438, 93.46254, 91.64835, 92.56589
90, 2048, 93.5795, 94.564644, 91.75824, 92.7555
90, 4096, 95.12262, 95.91959, 92.08791, 93.013824
100, 512, 90.93414, 92.13706, 90.43956, 91.49302
100, 1024, 92.55994, 93.41209, 90.87912, 91.96069
100, 2048, 93.607056, 94.57824, 91.75824, 92.96979
100, 4096, 94.681725, 95.58747, 92.1978, 93.38667
120, 512, 90.21769, 91.42162, 89.23077, 90.62289
120, 1024, 92.50482, 93.70176, 92.08791, 93.260864
120, 2048, 93.882614, 94.80429, 92.08791, 93.60772
120, 4096, 94.84707, 95.75396, 92.85714, 94.06706
200, 512, 90.658585, 91.95783, 90.43956, 91.72272
200, 1024, 92.339485, 93.45653, 91.0989, 92.41694
200, 2048, 93.44172, 94.516685, 92.30769, 93.27191
200, 4096, 94.87462, 95.82265, 92.96703, 93.9302
