tt,class,selection
TRAIN,A,00003
TRAIN,A,00004
TRAIN,A,00007
TEST,A,00008
TRAIN,A,00011
TEST,A,00012
TRAIN,A,00015
TRAIN,A,00016
TRAIN,A,00019
TRAIN,A,00020
TRAIN,A,00118
TRAIN,A,00122
TRAIN,A,00124
TRAIN,A,00125
TRAIN,A,00128
TRAIN,A,00129
TEST,A,00132
TEST,A,00133
TRAIN,A,00136
TRAIN,A,00137
TRAIN,A,00140
TRAIN,A,00141
TRAIN,A,00144
TRAIN,A,00145
TEST,A,00227
TEST,A,00231
TRAIN,A,00235
TRAIN,A,00236
TRAIN,A,00239
TRAIN,A,00240
TRAIN,A,00243
TEST,A,00244
TEST,A,00247
TRAIN,A,00248
TRAIN,A,00251
TRAIN,A,00252
TRAIN,A,00255
TRAIN,A,00256
TRAIN,A,00259
TRAIN,A,00260
TRAIN,A,00263
TRAIN,A,00264
TRAIN,A,00457
TRAIN,A,00462
TRAIN,A,00466
TRAIN,A,00467
TRAIN,A,00470
TRAIN,A,00471
TRAIN,A,00474
TEST,A,00475
TRAIN,A,00478
TRAIN,A,00479
TRAIN,A,00482
TEST,A,00483
TRAIN,A,00486
TEST,A,00487
TRAIN,A,00490
TRAIN,A,00491
TRAIN,A,00494
TRAIN,A,00495
TRAIN,A,00498
TRAIN,A,00499
TRAIN,A,00502
TRAIN,A,00503
TRAIN,A,00506
TRAIN,A,00509
TRAIN,A,00512
TRAIN,A,00515
TRAIN,A,00516
TRAIN,A,00519
TRAIN,A,00520
TRAIN,A,00523
TRAIN,A,00701
TRAIN,A,00705
TRAIN,A,00706
TEST,A,00709
TRAIN,A,00710
TRAIN,A,00713
TRAIN,A,00714
TRAIN,A,00717
TRAIN,A,00718
TEST,A,00721
TRAIN,A,00722
TRAIN,A,00725
TEST,A,00726
TRAIN,A,00729
TRAIN,A,00730
TRAIN,A,00733
TRAIN,A,00734
TRAIN,A,00737
TRAIN,A,00738
TRAIN,A,00741
TRAIN,A,00742
TRAIN,A,00745
TRAIN,A,00746
TRAIN,A,00749
TRAIN,A,00750
TRAIN,A,00753
TRAIN,A,00756
TRAIN,A,00759
TRAIN,A,00895
TRAIN,A,00900
TEST,A,00904
TEST,A,00907
TRAIN,A,00908
TEST,A,00911
TRAIN,A,00912
TEST,A,00915
TRAIN,A,00916
TRAIN,A,00919
TRAIN,A,00920
TRAIN,A,01105
TEST,A,01109
TRAIN,A,01111
TRAIN,A,01112
TRAIN,A,01115
TRAIN,A,01116
TRAIN,A,01119
TRAIN,A,01120
TEST,A,01123
TRAIN,A,01124
TRAIN,A,01127
TRAIN,A,01128
TRAIN,A,01131
TRAIN,A,01132
TRAIN,A,01135
TRAIN,A,01138
TRAIN,A,01285
TRAIN,A,01289
TRAIN,A,01293
TRAIN,A,01296
TEST,A,01297
TEST,A,01300
TRAIN,A,01301
TEST,A,01304
TRAIN,A,01305
TEST,A,01308
TRAIN,A,01309
TRAIN,A,01312
TRAIN,A,01313
TRAIN,A,01316
TRAIN,A,01317
TRAIN,A,01320
TRAIN,A,01481
TEST,A,01485
TRAIN,A,01488
TRAIN,A,01489
TRAIN,A,01492
TRAIN,A,01493
TEST,A,01496
TRAIN,A,01497
TRAIN,A,01500
TRAIN,A,01501
TRAIN,A,01504
TRAIN,A,01507
TRAIN,A,01510
TRAIN,A,01668
TRAIN,A,01672
TRAIN,A,01674
TRAIN,A,01677
TRAIN,A,01680
TEST,A,01681
TRAIN,A,01684
TRAIN,A,01685
TRAIN,A,01688
TRAIN,A,01689
TRAIN,A,01692
TEST,A,01695
TRAIN,A,01696
TRAIN,A,01699
TRAIN,A,01702
TRAIN,A,01705
TEST,A,01708
TRAIN,A,01709
TEST,A,01712
TEST,A,01715
TEST,A,01843
TEST,A,01847
TRAIN,A,01851
TRAIN,A,01854
TRAIN,A,01855
TRAIN,A,01858
TRAIN,A,01859
TRAIN,A,01862
TRAIN,A,01863
TRAIN,A,01866
TRAIN,A,01867
TRAIN,A,01870
TRAIN,A,01871
TRAIN,A,01874
TRAIN,A,02042
TRAIN,A,02046
TEST,A,02050
TRAIN,A,02053
TRAIN,A,02054
TRAIN,A,02057
TRAIN,A,02058
TRAIN,A,02061
TRAIN,A,02062
TRAIN,A,02065
TRAIN,A,02066
TEST,A,02069
TRAIN,A,02070
TRAIN,A,02073
TEST,A,02076
TRAIN,A,02238
TRAIN,A,02241
TEST,A,02242
TRAIN,A,02245
TRAIN,A,02246
TEST,A,02249
TEST,A,02250
TRAIN,A,02253
TRAIN,A,02254
TRAIN,A,02257
TRAIN,A,02258
TEST,A,02261
TRAIN,A,02262
TRAIN,A,02265
TRAIN,A,02266
TRAIN,A,02269
TRAIN,A,02270
TEST,A,02273
TRAIN,A,02276
TRAIN,A,02421
TEST,A,02426
TRAIN,A,02430
TRAIN,A,02433
TRAIN,A,02434
TRAIN,A,02437
TRAIN,A,02438
TRAIN,A,02441
TRAIN,A,02442
TRAIN,A,02445
TEST,A,02446
TEST,A,02449
TRAIN,A,02450
TEST,A,02453
TRAIN,A,02454
TRAIN,A,02457
TRAIN,A,02599
TRAIN,A,02603
TRAIN,A,02607
TRAIN,A,02610
TRAIN,A,02611
TRAIN,A,02614
TRAIN,A,02615
TRAIN,A,02618
TRAIN,A,02619
TRAIN,A,02622
TEST,A,02623
TRAIN,A,02626
TEST,A,02627
TRAIN,A,02630
TRAIN,A,02631
TRAIN,A,02634
TRAIN,A,02635
TRAIN,A,02638
TRAIN,A,02721
TRAIN,A,02722
TEST,A,02726
TRAIN,A,02727
TRAIN,A,02730
TRAIN,A,02731
TRAIN,A,02734
TRAIN,A,02735
TEST,A,02738
TRAIN,A,02739
TRAIN,A,02742
TEST,A,02743
TRAIN,A,02746
TRAIN,A,02747
TRAIN,A,02750
TRAIN,A,02753
TRAIN,A,02756
TRAIN,A,02887
TRAIN,A,02891
TRAIN,A,02894
TEST,A,02895
TRAIN,A,02898
TRAIN,A,02899
TEST,A,02902
TRAIN,A,02903
TRAIN,A,02906
TRAIN,A,02907
TRAIN,A,02910
TEST,A,02911
TRAIN,A,02914
TRAIN,A,03033
TRAIN,A,03037
TRAIN,A,03041
TEST,A,03044
TEST,A,03045
TEST,A,03047
TEST,A,03048
TRAIN,A,03051
TRAIN,A,03052
TRAIN,A,03055
TEST,A,03056
TEST,A,03059
TRAIN,A,03060
TRAIN,A,03063
TEST,A,03177
TRAIN,A,03313
TRAIN,A,03318
TRAIN,A,03321
TRAIN,A,03324
TRAIN,A,03325
TEST,A,03328
TRAIN,A,03329
TEST,A,03332
TEST,A,03333
TRAIN,A,03336
TRAIN,A,03337
TRAIN,A,03340
TRAIN,A,03341
TRAIN,A,03444
TRAIN,A,03449
TRAIN,A,03453
TRAIN,A,03457
TRAIN,A,03460
TRAIN,A,03461
TRAIN,A,03464
TRAIN,A,03465
TRAIN,A,03468
TEST,A,03469
TRAIN,A,03472
TRAIN,A,03473
TRAIN,A,03476
TRAIN,A,03477
TRAIN,A,03480
TRAIN,A,03483
TRAIN,A,03581
TRAIN,A,03582
TRAIN,A,03585
TRAIN,A,03586
TRAIN,A,03589
TRAIN,A,03590
TEST,A,03593
TEST,A,03594
TRAIN,A,03597
TRAIN,A,03598
TEST,A,03601
TEST,A,03602
TEST,A,03758
TEST,A,03761
TEST,A,03764
TEST,A,03765
TRAIN,A,03767
TRAIN,A,03768
TRAIN,A,03771
TEST,A,03772
TEST,A,03901
TEST,A,03905
TEST,A,03909
TRAIN,A,03913
TRAIN,A,03915
TRAIN,A,03916
TRAIN,A,03919
TEST,A,03920
TRAIN,A,03923
TRAIN,A,03924
TRAIN,A,03927
TRAIN,A,03930
TRAIN,A,04122
TRAIN,A,04126
TEST,A,04129
TEST,A,04130
TRAIN,A,04133
TRAIN,A,04134
TRAIN,A,04137
TRAIN,A,04138
TRAIN,A,04141
TRAIN,A,04142
TEST,A,04145
TEST,A,04146
TEST,A,04149
TRAIN,A,04253
TRAIN,A,04254
TRAIN,A,04256
TEST,A,04260
TEST,A,04261
TEST,A,04266
TRAIN,A,04267
TRAIN,A,04377
TRAIN,A,04382
TRAIN,A,04386
TRAIN,A,04390
TEST,A,04394
TRAIN,A,04396
TRAIN,A,04397
TRAIN,A,04400
TRAIN,A,04401
TEST,A,04404
TRAIN,A,04405
TEST,A,04408
TRAIN,A,04409
TEST,A,04412
TRAIN,A,04413
TRAIN,A,04416
TRAIN,A,04417
TRAIN,A,04514
TEST,A,04519
TRAIN,A,04522
TRAIN,A,04523
TRAIN,A,04526
TRAIN,A,04527
TEST,A,04530
TRAIN,A,04531
TRAIN,A,04534
TRAIN,A,04535
TRAIN,A,04538
TRAIN,A,04539
TRAIN,A,04542
TRAIN,A,04543
TRAIN,A,04546
TRAIN,A,04666
TRAIN,A,04670
TRAIN,A,04673
TRAIN,A,04674
TRAIN,A,04677
TRAIN,A,04678
TRAIN,A,04681
TRAIN,A,04682
TEST,A,04685
TEST,A,04686
TRAIN,A,04689
TRAIN,A,04690
TRAIN,A,04693
TRAIN,A,04694
TRAIN,A,04697
TRAIN,A,04698
TEST,A,04771
TRAIN,A,04774
TRAIN,A,04778
TRAIN,A,04779
TRAIN,A,04782
TRAIN,A,04783
TRAIN,A,04786
TRAIN,A,04787
TRAIN,A,04790
TRAIN,A,04791
TRAIN,A,04794
TRAIN,A,04795
TRAIN,A,04798
TRAIN,A,04799
TRAIN,A,04802
TRAIN,A,04803
TRAIN,A,04924
TEST,A,04929
TRAIN,A,04932
TRAIN,A,04933
TRAIN,A,04936
TRAIN,A,04937
TEST,A,04940
TEST,A,04941
TEST,A,04944
TRAIN,A,04945
TRAIN,A,04948
TRAIN,A,04949
TRAIN,A,04952
TRAIN,A,04953
TEST,A,05070
TRAIN,A,05074
TRAIN,A,05077
TRAIN,A,05078
TRAIN,A,05081
TRAIN,A,05082
TRAIN,A,05085
TRAIN,A,05086
TRAIN,A,05089
TRAIN,A,05090
TRAIN,A,05093
TRAIN,A,05094
TRAIN,A,05097
TEST,A,05098
TRAIN,A,05101
TRAIN,A,05102
TRAIN,A,05105
TRAIN,A,05200
TRAIN,A,05202
TRAIN,A,05205
TRAIN,A,05206
TRAIN,A,05209
TRAIN,A,05210
TRAIN,A,05212
TEST,A,05213
TRAIN,A,05323
TRAIN,A,05327
TRAIN,A,05330
TRAIN,A,05334
TEST,A,05337
TRAIN,A,05340
TRAIN,A,05341
TRAIN,A,05344
TRAIN,A,05345
TRAIN,A,05348
TRAIN,A,05349
TRAIN,A,05352
TRAIN,A,05353
TRAIN,A,05356
TRAIN,A,05357
TRAIN,A,05360
TRAIN,A,05361
TRAIN,A,05452
TRAIN,A,05458
TRAIN,A,05459
TRAIN,A,05461
TEST,A,05462
TRAIN,A,05465
TRAIN,A,05468
TRAIN,A,05469
TRAIN,B,00123
TRAIN,B,00151
TRAIN,B,00267
TRAIN,B,00274
TRAIN,B,00278
TRAIN,B,00708
TEST,B,00910
TRAIN,B,01679
TEST,B,02432
TEST,B,03322
TRAIN,B,03463
TRAIN,B,04250
TRAIN,B,05107
TRAIN,Bd,00119
TRAIN,Bd,00120
TRAIN,Bd,00121
TEST,Bd,00229
TRAIN,Bd,00232
TRAIN,Bd,00234
TRAIN,Bd,00242
TRAIN,Bd,00458
TRAIN,Bd,00459
TRAIN,Bd,00460
TRAIN,Bd,00461
TEST,Bd,00896
TRAIN,Bd,00897
TRAIN,Bd,00898
TRAIN,Bd,00899
TRAIN,Bd,00901
TEST,Bd,00902
TRAIN,Bd,00903
TRAIN,Bd,00905
TEST,Bd,00906
TRAIN,Bd,01286
TRAIN,Bd,01287
TRAIN,Bd,01288
TRAIN,Bd,01290
TRAIN,Bd,01291
TEST,Bd,01292
TRAIN,Bd,01669
TRAIN,Bd,01670
TRAIN,Bd,01671
TRAIN,Bd,01675
TRAIN,Bd,02422
TRAIN,Bd,02423
TRAIN,Bd,02424
TRAIN,Bd,02425
TRAIN,Bd,02427
TRAIN,Bd,02428
TEST,Bd,02429
TEST,Bd,02596
TRAIN,Bd,02597
TRAIN,Bd,02598
TEST,Bd,02888
TRAIN,Bd,02889
TRAIN,Bd,02890
TEST,Bd,03314
TRAIN,Bd,03315
TEST,Bd,03319
TRAIN,Bd,03320
TRAIN,Bd,03440
TRAIN,Bd,03441
TRAIN,Bd,03759
TEST,Bm,00006
TEST,Bm,00127
TRAIN,Bm,00135
TRAIN,Bm,00139
TRAIN,Bm,00463
TRAIN,Bm,00464
TRAIN,Bm,00465
TRAIN,Bm,00469
TRAIN,Bm,00477
TEST,Bm,00501
TRAIN,Bm,00508
TRAIN,Bm,00511
TRAIN,Bm,00514
TRAIN,Bm,00518
TEST,Bm,00522
TRAIN,Bm,00525
TRAIN,Bm,00526
TRAIN,Bm,00529
TRAIN,Bm,00532
TRAIN,Bm,00533
TRAIN,Bm,00534
TRAIN,Bm,00537
TRAIN,Bm,00538
TRAIN,Bm,00539
TRAIN,Bm,00542
TRAIN,Bm,00543
TRAIN,Bm,00544
TRAIN,Bm,00547
TRAIN,Bm,00548
TEST,Bm,00551
TEST,Bm,00552
TEST,Bm,00553
TRAIN,Bm,00554
TRAIN,Bm,00557
TRAIN,Bm,00560
TRAIN,Bm,00702
TRAIN,Bm,00703
TRAIN,Bm,00704
TRAIN,Bm,00712
TRAIN,Bm,00716
TEST,Bm,00720
TEST,Bm,00724
TRAIN,Bm,00728
TRAIN,Bm,00732
TRAIN,Bm,00736
TRAIN,Bm,00740
TRAIN,Bm,00744
TRAIN,Bm,00748
TEST,Bm,00752
TRAIN,Bm,00755
TEST,Bm,00758
TRAIN,Bm,00761
TRAIN,Bm,00764
TRAIN,Bm,00767
TRAIN,Bm,00770
TRAIN,Bm,00773
TRAIN,Bm,00914
TRAIN,Bm,00918
TEST,Bm,00922
TRAIN,Bm,00925
TEST,Bm,00928
TEST,Bm,00931
TRAIN,Bm,00934
TRAIN,Bm,00937
TEST,Bm,00938
TEST,Bm,00941
TRAIN,Bm,00944
TRAIN,Bm,00947
TRAIN,Bm,00948
TRAIN,Bm,00949
TRAIN,Bm,01106
TRAIN,Bm,01107
TRAIN,Bm,01108
TRAIN,Bm,01110
TRAIN,Bm,01114
TRAIN,Bm,01118
TEST,Bm,01122
TEST,Bm,01126
TEST,Bm,01130
TRAIN,Bm,01134
TRAIN,Bm,01137
TRAIN,Bm,01140
TRAIN,Bm,01143
TEST,Bm,01146
TRAIN,Bm,01152
TRAIN,Bm,01294
TEST,Bm,01295
TRAIN,Bm,01299
TEST,Bm,01303
TRAIN,Bm,01307
TRAIN,Bm,01311
TRAIN,Bm,01315
TRAIN,Bm,01319
TRAIN,Bm,01322
TRAIN,Bm,01331
TRAIN,Bm,01332
TRAIN,Bm,01335
TEST,Bm,01338
TRAIN,Bm,01341
TRAIN,Bm,01344
TRAIN,Bm,01347
TRAIN,Bm,01350
TRAIN,Bm,01353
TRAIN,Bm,01356
TRAIN,Bm,01359
TEST,Bm,01362
TRAIN,Bm,01365
TRAIN,Bm,01482
TRAIN,Bm,01483
TEST,Bm,01484
TRAIN,Bm,01486
TEST,Bm,01487
TEST,Bm,01491
TRAIN,Bm,01495
TRAIN,Bm,01499
TRAIN,Bm,01503
TRAIN,Bm,01509
TEST,Bm,01512
TRAIN,Bm,01515
TEST,Bm,01518
TRAIN,Bm,01521
TEST,Bm,01524
TEST,Bm,01527
TEST,Bm,01530
TRAIN,Bm,01533
TRAIN,Bm,01536
TEST,Bm,01539
TRAIN,Bm,01676
TRAIN,Bm,01678
TRAIN,Bm,01683
TRAIN,Bm,01687
TEST,Bm,01691
TRAIN,Bm,01694
TRAIN,Bm,01698
TRAIN,Bm,01701
TEST,Bm,01704
TRAIN,Bm,01707
TRAIN,Bm,01711
TRAIN,Bm,01714
TRAIN,Bm,01717
TRAIN,Bm,01720
TRAIN,Bm,01844
TRAIN,Bm,01845
TRAIN,Bm,01846
TRAIN,Bm,01848
TRAIN,Bm,01849
TRAIN,Bm,01850
TEST,Bm,01852
TRAIN,Bm,01853
TRAIN,Bm,01857
TEST,Bm,01861
TRAIN,Bm,01865
TRAIN,Bm,01873
TRAIN,Bm,01876
TRAIN,Bm,01879
TRAIN,Bm,01880
TRAIN,Bm,01881
TRAIN,Bm,01884
TRAIN,Bm,01885
TEST,Bm,01886
TRAIN,Bm,01889
TEST,Bm,01890
TRAIN,Bm,01893
TRAIN,Bm,01896
TRAIN,Bm,01897
TRAIN,Bm,01900
TRAIN,Bm,02038
TRAIN,Bm,02039
TRAIN,Bm,02040
TRAIN,Bm,02041
TRAIN,Bm,02043
TRAIN,Bm,02044
TEST,Bm,02045
TEST,Bm,02047
TRAIN,Bm,02048
TRAIN,Bm,02049
TRAIN,Bm,02051
TRAIN,Bm,02052
TEST,Bm,02056
TEST,Bm,02060
TRAIN,Bm,02064
TEST,Bm,02068
TRAIN,Bm,02072
TEST,Bm,02075
TRAIN,Bm,02078
TRAIN,Bm,02081
TRAIN,Bm,02084
TRAIN,Bm,02087
TRAIN,Bm,02090
TEST,Bm,02093
TRAIN,Bm,02096
TRAIN,Bm,02099
TRAIN,Bm,02102
TRAIN,Bm,02105
TRAIN,Bm,02108
TRAIN,Bm,02207
TRAIN,Bm,02233
TEST,Bm,02234
TRAIN,Bm,02235
TRAIN,Bm,02236
TRAIN,Bm,02237
TRAIN,Bm,02239
TRAIN,Bm,02240
TRAIN,Bm,02244
TEST,Bm,02248
TRAIN,Bm,02252
TRAIN,Bm,02256
TRAIN,Bm,02260
TRAIN,Bm,02264
TRAIN,Bm,02268
TEST,Bm,02272
TRAIN,Bm,02275
TRAIN,Bm,02278
TRAIN,Bm,02281
TRAIN,Bm,02284
